Rows,FPW64
1,175220.363
2,1098138.823
3,2183879.303
4,2866426.704
5,5916700.089
6,9762519.873
7,6205871.746
8,12147766.92
9,21009593.02
10,17028069.02
11,32077629.04
12,33618477.33
13,47229362.89
14,45970919.94
15,56584865.78
16,54573296.25
17,59085446.74
18,57998106.08
19,77939821.65
20,72767266.95
21,89680063.37
22,86168281.17
23,109183866.4
24,105020689.3
25,126739327.9
26,121359795.4
27,145591948
28,140491797.9
29,170671215
30,158581136
31,190239229
32,213632309.9
33,218435965.5
34,196863414
35,244218872.5
36,227908662.5
37,287540484.2
38,264900328.4
39,262305246.7
40,307690952.6
41,293126903.5
42,327168009.8
43,317357933.9
44,359732884
45,352055198.1
46,411294438.8
47,379240886.6
48,554374119.5
49,443951840.6
50,433960489
51,464297832.2
52,449298193.6
53,535397933.9
54,477747011.5
55,509614877.7
56,506726070.3
57,643323548.9
58,609865595
59,584337318.5
60,636311015.2
61,671575516.1
62,816981980
63,676158707.9
64,950206661
65,487288116.9
66,544302638.4
67,500025934.2
68,582768918.2
69,530138516.3
70,596135843.6
71,572993004.7
72,639096555.7
73,606182356.9
74,684490856.1
75,625604910.6
76,693939802.5
77,673062808
78,727120453.3
79,707133689
80,1138554970
81,708514963.5
82,757878905.5
83,742856319.7
84,824044803.1
85,780219571.9
86,859271609.7
87,813829551.4
88,922166226.4
89,862051892
90,948055731
91,896901224.7
92,1031839713
93,924828913.9
94,1075228744
95,953686002.3
96,1496753078
97,1009747018
98,1124210315
99,953882078
100,1167603721
101,1038980901
102,1230593372
103,1102447982
104,1327622669
105,1155458823
106,1278370679
107,1190434577
108,1164580232
109,1213350661
110,1361837617
111,1238172717
112,1858832845
113,1300325715
114,1440558056
115,1539300485
116,1338734642
117,1454943823
118,1511710919
119,1341171512
120,1680295013
121,1368829469
122,1532488886
123,1468769639
124,1489922481
125,1495505902
126,1731428871
127,1544903038
128,2481666481
129,1632528641
130,1765604252
131,1685648945
132,1967866417
133,2008256591
134,1665464896
135,1836943140
136,2196648695
137,1859871528
138,2038580621
139,1911704593
140,2020574033
141,1957238385
142,2192812611
143,2343526042
144,2145695364
145,1902071076
146,2175685025
147,1749666851
148,2278780140
149,1939301051
150,2245550040
151,2081682306
152,2351237952
153,2360999132
154,2576735699
155,2550472165
156,2587141937
157,2243330837
158,2558633386
159,2505546258
160,2365019488
161,2568718777
162,2369955434
163,2616148003
164,2449435640
165,2364174207
166,2721077626
167,2390708361
168,2963391850
169,2620229354
170,2436592850
171,2878938033
172,2591161244
173,2741440818
174,2568654068
175,2809670413
176,2703510691
177,2957877212
178,2652787258
179,2670749322
180,2701761645
181,2936423094
182,2780176579
183,3153593841
184,2921442931
185,2788230722
186,3184639222
187,2776060838
188,3359337487
189,2979115099
190,2876070674
191,3339840381
192,3765284140
193,2436997206
194,2186572291
195,2307669323
196,2687710491
197,2501313145
198,2214113143
199,2615192394
200,2354937639
201,2717291422
202,2221473972
203,2502512072
204,2379364885
205,2735578433
206,2473849566
207,2940200447
208,2836415685
209,2289979926
210,2416478787
211,2713073642
212,2546068612
213,2977031133
214,2594972758
215,2976157711
216,2755979619
217,3029516459
218,2718054485
219,3105029711
220,2803194556
221,3133998616
222,2771245545
223,3315148570
224,3356528400
225,2671938796
226,2743268779
227,3175146991
228,2762909787
229,3087831740
230,2919455566
231,2789339421
232,3097614058
233,2887390356
234,3002637184
235,2919151589
236,3052568514
237,2918064533
238,3001305221
239,2902039573
240,3376110404
241,2898703993
242,3094275181
243,3521859386
244,3121784239
245,3261078279
246,3088927299
247,3230181229
248,3793357947
249,3218500651
250,3216788987
251,3536264020
252,3315337546
253,3599302132
254,3257084169
255,3708195989
256,4519448141
257,3169291376
258,3115461541
259,2646054650
260,3360381528
261,3053890919
262,2812149923
263,3158192667
264,2924246501
265,3251456170
266,2992126371
267,2900018197
268,3367276137
269,2876838142
270,2925363844
271,3453910504
272,3341460901
273,3165298203
274,2972464010
275,2918043676
276,3036128479
277,3315274871
278,3376697654
279,3027606067
280,3638043312
281,3074695619
282,3588623214
283,3650354470
284,3450047477
285,3131671797
286,3360090863
287,3799163647
288,3788807713
289,2959725020
290,3381827134
291,3041605843
292,3553611584
293,3000159795
294,3272740515
295,2994225748
296,3741718726
297,3183704321
298,3223450706
299,3179585063
300,3261691393
301,3184253297
302,3439599491
303,3188887634
304,3960155391
305,3126330828
306,3662579589
307,3221150675
308,3914422608
309,3883800022
310,4270531565
311,3896651981
312,4184886244
313,3441900687
314,3582711439
315,3961893996
316,3519306617
317,3502936264
318,3980721487
319,3902449956
320,3982424890
321,3892661188
322,3860093602
323,3341229550
324,3738522518
325,3173333165
326,3836158572
327,3339077920
328,3551485117
329,3475201067
330,3948115651
331,4074541516
332,3629022643
333,3367461787
334,3671995232
335,4223703690
336,4205249875
337,3338095768
338,3291120857
339,3976022090
340,3976894327
341,3789906974
342,3434799645
343,3358967770
344,4335241151
345,3819258354
346,3534664186
347,4137222594
348,4271216996
349,4327571982
350,3619607298
351,4117872742
352,3944433806
353,3619760158
354,4327650266
355,3695362307
356,5144207721
357,4375191692
358,4184138661
359,3760020837
360,4430429296
361,4096111249
362,3739168145
363,4196505777
364,4927330784
365,3899170142
366,4497091589
367,4516826236
368,4049235736
369,3890572243
370,4429238969
371,4344849980
372,4386127604
373,3829910154
374,4434940750
375,4378179918
376,4092286412
377,3794758480
378,4016987499
379,4472266297
380,4524588596
381,4698472707
382,4328657476
383,4731185567
384,6004304433
385,3140715730
386,3204768516
387,3565445143
388,3758806804
389,3553012848
390,3113885594
391,3376997331
392,3211992982
393,3674880506
394,3177173129
395,3439947726
396,3689941997
397,3678285448
398,3099305697
399,3136203196
400,3584700171
401,3071222413
402,3718327047
403,3755074994
404,3231956031
405,3251060776
406,3836899167
407,3817890479
408,3402028882
409,3808944684
410,3313905367
411,3806935651
412,4060135346
413,4387966493
414,3984736775
415,3906826040
416,4135825275
417,3185281218
418,3681114766
419,3412858298
420,3860659148
421,3897123537
422,3856283581
423,3245409708
424,3977239005
425,3379227055
426,3957556084
427,3902596911
428,4073435247
429,3304975193
430,3988706687
431,3985771752
432,4885780886
433,3925492224
434,3891762763
435,3754249348
436,3852979329
437,3846530633
438,4141103822
439,4000356676
440,4277471661
441,3420779916
442,4009214430
443,3981850552
444,4265363842
445,3458337744
446,4092658249
447,3957139048
448,4290762097
449,3305075050
450,3948143915
451,3321578210
452,3851552777
453,3583168197
454,3987983998
455,4007859433
456,4234297359
457,3377661343
458,3879790264
459,3518053100
460,4161258604
461,4042229740
462,3485620172
463,4064721388
464,3519550357
465,4106460133
466,4056100426
467,4078000942
468,4323710669
469,4157126112
470,4185345888
471,3679039058
472,4410870938
473,4197409961
474,4279875789
475,3592405440
476,4370886260
477,3697785891
478,4265716748
479,4316603764
480,4652453303
481,3462483402
482,4148931857
483,3643576112
484,4322622257
485,4190786369
486,3629644731
487,4054280980
488,3876059004
489,4290344945
490,4350516063
491,4302257398
492,3745363707
493,4296119632
494,3734977677
495,4263817637
496,4627771370
497,4224784088
498,3700254178
499,4232875473
500,4494284574
501,3601479250
502,4302940895
503,3824467204
504,4654318408
505,4445643184
506,4364229178
507,3720671775
508,4623218533
509,3955168686
510,4541326443
511,4555537932
512,5170150584
513,4472110101
514,3984250264
515,4535672372
516,4517913675
517,4343681961
518,4347864335
519,4607903261
520,4842978233
521,4632433287
522,3975318668
523,4604853485
524,4799144814
525,3992628755
526,4738718294
527,4091247098
528,5008629021
529,4711885467
530,4711225109
531,4746669341
532,4942218682
533,4736696882
534,4668805631
535,4613174898
536,5050656632
537,4402800793
538,4292046239
539,4214779227
540,4994392363
541,4656325797
542,4680079224
543,4884385079
544,5213131768
545,4951490120
546,4699999229
547,4644671051
548,4124215987
549,4787016923
550,4232665378
551,4737316794
552,5106113333
553,4699548193
554,4970522030
555,4231629566
556,5031080983
557,4755097712
558,4701987003
559,4205278237
560,5189417739
561,4246139400
562,5007277426
563,4913078157
564,4717708541
565,4176626717
566,4925550504
567,4246139109
568,5261894114
569,4948482461
570,4306056285
571,4842769912
572,4600876613
573,5031450029
574,5139094217
575,4709278519
576,5606711544
577,4205516812
578,4361247808
579,4894720845
580,5161491928
581,4518355591
582,4215466150
583,4903468900
584,4632360211
585,4948545321
586,4936364886
587,4266452959
588,5141244751
589,4437346543
590,5149782788
591,5088798658
592,5413246629
593,4327400609
594,5162438472
595,5095438512
596,5109074361
597,4548151714
598,5205491009
599,4835871596
600,4654902083
601,5026195797
602,4613663853
603,5238988537
604,5424243724
605,5004546953
606,4537926960
607,5039010694
608,5000422743
609,5187108088
610,5233389699
611,4901975723
612,5041174145
613,5132315199
614,4606386629
615,4544826009
616,5584617476
617,4913349245
618,4998293577
619,4520816397
620,5528245359
621,5066585130
622,5288561087
623,4661893882
624,5058252815
625,5337676230
626,5106556808
627,5037500499
628,4695444453
629,5417097737
630,4730569726
631,4960264980
632,5052640036
633,5484892742
634,5578647065
635,5071165315
636,5670927454
637,5266375942
638,5212162124
639,4641171656
640,6122814129
641,4716752603
642,5105106404
643,4638925323
644,5664814659
645,5434730906
646,5040412627
647,4660155527
648,5762420846
649,4762848314
650,5540107284
651,4989181556
652,4853526384
653,5516657102
654,4869285992
655,5512194010
656,6162118297
657,5103925127
658,4770122587
659,5582365804
660,4834777702
661,5522985756
662,5660795942
663,4989310120
664,5088171016
665,5697654805
666,4943759619
667,5604389294
668,5895535617
669,5129006243
670,4859704973
671,5681179231
672,5595221956
673,5562845453
674,5306901094
675,4870760191
676,5875890652
677,6044642857
678,5703510951
679,5634190603
680,5432580758
681,4679587687
682,5788223917
683,4978852647
684,5953660460
685,6697977155
686,4902190572
687,5674188054
688,5545821083
689,5711886604
690,5840811840
691,4966550703
692,5156801795
693,5797963084
694,5127497320
695,5690764896
696,6333605473
697,5174840822
698,5070892534
699,5865311513
700,5331575134
701,5816202453
702,5443341622
703,5736175483
704,5718262026
705,6699217910
706,5750725368
707,5566299265
708,5229960426
709,4812679559
710,5714440239
711,4993958904
712,6203182966
713,4860816729
714,4988316051
715,5782575910
716,5224808739
717,5665364348
718,5845892480
719,4968955242
720,5549856723
721,5852213483
722,5159202022
723,5789815185
724,6111629648
725,6593442397
726,5181553427
727,5710158954
728,5510738924
729,4971907086
730,6073890846
731,5172160385
732,5724917934
733,5886181667
734,6752020070
735,5988789279
736,5698483347
737,5885814755
738,5141424038
739,5022020859
740,6216485981
741,4977634846
742,4881467274
743,6002711655
744,5700868395
745,5614587169
746,5602859115
747,5097934372
748,6462698178
749,5028732651
750,5301014917
751,4995220461
752,6960827470
753,5060979829
754,6427331860
755,7123412696
756,5414369026
757,5935918078
758,5365259485
759,5435903554
760,5650338626
761,5182068525
762,6191345051
763,5320069946
764,6373965100
765,5894564876
766,5300985784
767,5224449800
768,7082807686
769,4039210193
770,4463118658
771,4341546737
772,4065790121
773,3869033977
774,4602979307
775,4026631376
776,5796076275
777,4534433394
778,4114885830
779,4501645077
780,4867720809
781,3948385115
782,4777235807
783,3978394524
784,5001390477
785,4102172485
786,4160586333
787,4490668937
788,4539919071
789,3962276089
790,4895134665
791,4018764400
792,4327723885
793,4610056431
794,4219615054
795,4557094237
796,4542452859
797,4037632659
798,4151742951
799,4710649024
800,4604176214
801,4357388215
802,4592236011
803,4129188289
804,4167579414
805,4745146317
806,4084561464
807,4011677195
808,4994578478
809,4206237998
810,4390491490
811,4324695598
812,4247381175
813,4836316216
814,4287783739
815,4434666330
816,4785581885
817,4094016039
818,4928307619
819,4096586301
820,4253166659
821,4750959238
822,4301816170
823,4390017084
824,4720151043
825,5083336227
826,4284143816
827,4321382220
828,5092507845
829,4434109894
830,4217190357
831,4199972004
832,5256668270
833,4134188413
834,4235915409
835,4208551837
836,4172597103
837,4037775865
838,4718789838
839,4147782178
840,4398824133
841,4223079307
842,4102345328
843,4844969289
844,4348482265
845,4106570001
846,4350769116
847,5045596871
848,4782162523
849,4075501301
850,4156132980
851,4770073936
852,4404727697
853,4354725036
854,4399718832
855,4204490464
856,4543436113
857,4103422451
858,4607032605
859,4297685839
860,4330395022
861,4169676903
862,4231476990
863,4815519860
864,4773335270
865,4253768753
866,4338250040
867,4226017368
868,4291086564
869,4155037317
870,4852850143
871,4876633674
872,5242535278
873,4176880935
874,4868876328
875,4339142124
876,4485263334
877,4194844686
878,4266902436
879,4215738575
880,5331206030
881,4993621556
882,5076776775
883,4384317020
884,4511287303
885,4304972098
886,4303455077
887,4270474439
888,4508105614
889,4953751832
890,4463800683
891,4954959729
892,4657050649
893,4480306299
894,4516882801
895,4354244502
896,5839476184
897,4419872637
898,4371459491
899,4363005461
900,4539591864
901,5157073996
902,4437962822
903,4390349742
904,5526890023
905,4531771952
906,4469847473
907,4411541660
908,5720546923
909,4453747893
910,4488580881
911,5268677028
912,4877336525
913,4454330175
914,4506105239
915,5240751911
916,4635681216
917,4468724696
918,4542803693
919,5268142888
920,4869544564
921,4488611075
922,4526219851
923,5470428783
924,5142533659
925,4667392675
926,5152898849
927,4686333289
928,5507782461
929,4571149598
930,4490848217
931,4455938009
932,5620685513
933,4822597448
934,5327615728
935,5314901367
936,4847499172
937,5344348001
938,4951001991
939,4481023818
940,5575361664
941,4867880561
942,4610211460
943,5376279358
944,5931049654
945,5154369219
946,5297304815
947,5366506338
948,4691056074
949,4616764184
950,5465351996
951,4744873140
952,5603737403
953,4709406274
954,5082049918
955,5484205204
956,5636504683
957,5467427067
958,5352573861
959,4802303665
960,5625667331
961,4564397711
962,4596087646
963,5819942449
964,4717886472
965,5056080874
966,4622042075
967,5415142992
968,5815378002
969,4590176482
970,5320951758
971,5369288998
972,5604651645
973,5503721024
974,5507671599
975,5277070864
976,5862161744
977,4716392835
978,4968541961
979,4734620450
980,5505426687
981,5337158184
982,5567186792
983,5157269475
984,6754333272
985,5858774239
986,5241032469
987,4853940319
988,6192495757
989,4905743150
990,4761764889
991,5339501837
992,6130641551
993,5122149254
994,5090925411
995,4980022432
996,5592473487
997,5082892984
998,4968546829
999,5037613524
1000,5801778302
1001,5372894609
1002,5150696513
1003,5242745172
1004,5559093989
1005,5137660339
1006,4994904039
1007,6313531984
1008,5806499943
1009,4951317576
1010,5503251921
1011,5615912833
1012,5989821895
1013,5060088355
1014,6743423277
1015,5437978359
1016,5849473707
1017,5694646757
1018,5785515657
1019,5741241360
1020,5644488003
1021,5501642196
1022,5339977360
1023,6067825076
1024,5944318679
1025,5401766777
1026,5817768973
1027,5249756205
1028,5555013122
1029,4998963722
1030,5853566800
1031,5476333857
1032,5492347733
